Position
Time (Seconds),J1 (Degrees),J2 (Degrees),J3 (Degrees),J4 (Degrees),J5 (Degrees),J6 (Degrees)
4.100000,1.074602,-30.040918,60.022739,0.749150,60.403816,-12.096903
4.125000,1.113155,-30.048735,60.026955,0.746270,60.411549,-12.460360
4.150000,1.152261,-30.056952,60.031372,0.743326,60.419491,-12.827088
4.175000,1.191924,-30.065592,60.036026,0.740284,60.427708,-13.202709
4.200000,1.232133,-30.074682,60.040909,0.737184,60.436165,-13.581490
4.225000,1.272892,-30.084196,60.046024,0.733977,60.444881,-13.968872
4.250000,1.314188,-30.094156,60.051388,0.730713,60.453819,-14.359313
4.275000,1.356024,-30.104609,60.056999,0.727355,60.463062,-14.756335
4.300000,1.398393,-30.115517,60.062866,0.723924,60.472523,-15.158075
4.325000,1.441291,-30.126944,60.069008,0.720396,60.482296,-15.566212
4.350000,1.484717,-30.138872,60.075413,0.716764,60.492363,-15.982320
4.375000,1.528658,-30.151339,60.082108,0.713056,60.502697,-16.402941
4.400000,1.573112,-30.164343,60.089096,0.709278,60.513298,-16.826353
4.425000,1.618075,-30.177900,60.096375,0.705397,60.524200,-17.257462
4.450000,1.663546,-30.192015,60.103951,0.701400,60.535442,-17.696121
4.475000,1.709509,-30.206734,60.111832,0.697341,60.546959,-18.137465
4.500000,1.755966,-30.222034,60.120045,0.693169,60.558792,-18.586184
4.525000,1.802905,-30.237968,60.128586,0.688916,60.570938,-19.039082
4.550000,1.850325,-30.254505,60.137440,0.684550,60.583424,-19.499174
4.575000,1.898217,-30.271692,60.146652,0.680082,60.596237,-19.964851
4.600000,1.946574,-30.289553,60.156216,0.675515,60.609379,-20.436045
4.625000,1.995389,-30.308064,60.166126,0.670851,60.622875,-20.912701
4.650000,2.044651,-30.327303,60.176411,0.666085,60.636726,-21.394754
4.675000,2.094361,-30.347223,60.187069,0.661190,60.650940,-21.885023
4.700000,2.144496,-30.367878,60.198097,0.656228,60.665497,-22.377710
4.725000,2.195063,-30.389275,60.209526,0.651123,60.680454,-22.878439
4.750000,2.246045,-30.411400,60.221348,0.645917,60.695747,-23.384331
4.775000,2.297434,-30.434326,60.233582,0.640612,60.711441,-23.895329
4.800000,2.349220,-30.458027,60.246223,0.635195,60.727520,-24.411390
4.825000,2.401398,-30.482531,60.259289,0.629655,60.743999,-24.935167
4.850000,2.453952,-30.507847,60.272785,0.624001,60.760864,-25.463882
4.875000,2.506879,-30.534019,60.286705,0.618212,60.778194,-26.000154
4.900000,2.560158,-30.561026,60.301083,0.612328,60.795876,-26.539968
4.925000,2.613786,-30.588928,60.315918,0.606321,60.814026,-27.085905
4.950000,2.667749,-30.617689,60.331211,0.600186,60.832577,-27.639183
4.975000,2.722032,-30.647373,60.346970,0.593949,60.851570,-28.195925
5.000000,2.776628,-30.677979,60.363213,0.587577,60.871010,-28.759892
5.025000,2.831525,-30.709497,60.379932,0.581076,60.890892,-29.329765
5.050000,2.886706,-30.742006,60.397156,0.574455,60.911240,-29.905485
5.075000,2.942161,-30.775459,60.414875,0.567694,60.932056,-30.488224
5.100000,2.997874,-30.809904,60.433098,0.560814,60.953331,-31.075514
5.125000,3.053827,-30.845373,60.451855,0.553821,60.975094,-31.668541
5.150000,3.110016,-30.881840,60.471107,0.546679,60.997345,-32.268402
5.175000,3.166420,-30.919352,60.490917,0.539395,61.020084,-32.875065
5.200000,3.223017,-30.957932,60.511257,0.532018,61.043312,-33.485004
5.225000,3.279807,-30.997587,60.532150,0.524464,61.067070,-34.103931
5.250000,3.336758,-31.038309,60.553581,0.516800,61.091316,-34.727249
5.275000,3.393861,-31.080145,60.575581,0.508992,61.116081,-35.357170
5.300000,3.451095,-31.123117,60.598164,0.501061,61.141380,-35.992558
